ID;Dimensão;Subdimensão;Rubrica nome;Rubrica numero;Faixa de pontuação (intervalo de pontuação);Pontos fortes;O que fazer para avançar;Necessidades formativas
1;Dimensão pedagógica;Planejamento pedagógico;Sensibilização – Nível Consolidar;1;"0-9 pontos / Consolidar: 0-5; Avançar: 6-9";Muito bem! Você já reconhece a importância do planejamento pedagógico e demonstra compromisso em viabilizar momentos e espaços para que ele aconteça. Está no caminho certo para desenvolver práticas fundamentais na gestão do planejamento escolar.;Antes de avançar, é necessário consolidar este nível. Para isso, será essencial estar preparado(a) para compreender mais profundamente o planejamento pedagógico, assegurar condições básicas para que os professores realizem seu planejamento e organizar rotinas e um calendário de planejamento ao longo do ano. Também será importante conhecer os fundamentos básicos da recomposição de aprendizagens.;"Conceitos básicos de planejamento pedagógico; Etapas e calendário de planejamento; Fundamentos conceituais e normativos da recomposição de aprendizagens"
2;Dimensão pedagógica;Planejamento pedagógico;Sensibilização – Nível Avançar;1;"0-9 pontos / Consolidar: 0-5; Avançar: 6-9";Muito bem! Você já reconhece a importância do planejamento pedagógico e se sente preparado(a) para viabilizar momentos e espaços para sua realização. Você se percebe preparado(a) para assegurar que os professores elaborem e implementem suas propostas, evidenciando compromisso com o processo de planejamento pedagógico na escola.;Estar preparado(a) para assumir um papel mais ativo de mediação, promovendo um planejamento pedagógico mais integrado e colaborativo, que dialogue com diagnósticos e objetivos institucionais, inclusive no que se refere à recomposição de aprendizagens.;"Diagnóstico escolar para embasar o planejamento pedagógico; Definição de objetivos de aprendizagem; Organização e mediação das reuniões de planejamento"
3;Dimensão pedagógica;Planejamento pedagógico;Exploração – Nível Consolidar;2;"10 a 21 pontos / Consolidar: 10-16; Avançar: 17-21";Ótimo! Você já se sente preparado(a) para assumir um papel ativo na mediação do planejamento pedagógico e para começar a alinhar esse processo às diretrizes institucionais e políticas educacionais.;"Fortalecer sua preparação para usar dados de aprendizagem dos estudantes como base para o planejamento pedagógico; Consolidar capacidade de mediar discussões sobre o alinhamento pedagógico.";"Diagnóstico escolar para embasar o planejamento pedagógico; Definição de objetivos de aprendizagem; Organização e mediação das reuniões de planejamento"
4;Dimensão pedagógica;Planejamento pedagógico;Exploração – Nível Avançar;2;"10 a 21 pontos / Consolidar: 10-16; Avançar: 17-21";Parabéns! Você já se sente preparado(a) para desempenhar um papel ativo na mediação do planejamento pedagógico, garantindo que ele seja baseado em um diagnóstico de aprendizagem dos estudantes.;"Ampliar o escopo do diagnóstico; Estruturar rotinas de monitoramento e replanejamento; Fornecer apoio com diretrizes claras e devolutivas construtivas.";"Diagnóstico escolar para embasar o planejamento pedagógico; Planejamento das ações, responsáveis e recursos necessários; Suporte e devolutiva aos professores; Monitoramento, avaliação e replanejamento"
5;Dimensão pedagógica;Planejamento pedagógico;Liderança Estratégica – Nível Consolidar;3;"22 a 36/ Consolidar: 22-30; Avançar: 31 a 36";Parabéns! Você já se sente preparado(a) para liderar o processo de planejamento pedagógico de forma consistente e estruturada.;Fortalecer preparo para realizar diagnósticos das práticas pedagógicas dos professores e orientar tecnicamente o planejamento com devolutivas consistentes.;"Diagnóstico escolar para embasar o planejamento pedagógico; Planejamento das ações, responsáveis e recursos necessários; Suporte e devolutiva aos professores; Monitoramento, avaliação e replanejamento"
6;Dimensão pedagógica;Planejamento pedagógico;Liderança Estratégica – Nível Avançar;3;"22 a 36/ Consolidar: 22-30; Avançar: 31 a 36";Excelente trabalho! Você já se sente preparado(a) para liderar o planejamento pedagógico conectando o diagnóstico da aprendizagem a objetivos e estratégias claras.;"Fortalecer o preparo para promover a autonomia da equipe; Consolidar interdisciplinaridade e inovação como práticas autossustentáveis.";"Interdisciplinariedade e práticas integradoras; Engajamento da comunidade e comunicação; Distribuição da liderança e criação de uma cultura sustentável; Sensibilização e mobilização para recomposição das aprendizagens"
7;Dimensão pedagógica;Planejamento pedagógico;Transformação cultural – Nível Consolidar;4;37 a 51 pontos/ Consolidar: 37-51;Fantástico! Você já se sente preparado(a) para promover uma cultura escolar em que o planejamento pedagógico seja consistente, colaborativo, contínuo e sustentável.;Assegurar que práticas sustentáveis e inovadoras continuem evoluindo e a cultura escolar permaneça adaptável às mudanças futuras.;"Interdisciplinariedade e práticas integradoras; Engajamento da comunidade e comunicação; Distribuição da liderança e criação de uma cultura sustentável; Sensibilização e mobilização para recomposição das aprendizagens"
8;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Sensibilização – Nível Consolidar;1;0-6 (Consolidar: 0-3);Muito bem! Você já reconhece a importância de garantir a implementação dos processos de ensino e aprendizagem no dia a dia e está no caminho certo para consolidar práticas fundamentais nessa área.;Antes de avançar, é preciso consolidar este nível. Para isso, será necessário fortalecer seus conhecimentos sobre conceitos básicos relacionados à implementação do ensino e práticas que assegurem o funcionamento mínimo das aulas.;"Cumprimento e ajustes no calendário e grade horária; Monitoramento da frequência e mitigação de ausências; Gerenciamento de recursos; Proteção do tempo pedagógico"
9;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Sensibilização – Nível Avançar;1;0-6 (Avançar: 4-6);Parabéns! Você já se sente preparado(a) para organizar a escola de forma a cumprir o calendário escolar e assegurar a realização das aulas conforme o planejado.;Para avançar; será importante desenvolver maior preparo para processos mais consistentes de monitoramento e planejamento.
10;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Exploração – Nível Consolidar;2;7-15 (Consolidar: 7-11);Ótimo trabalho! Você já se sente preparado(a) para planejar e antecipar soluções para problemas recorrentes; criando estratégias para organizar os processos de implementação do ensino;Antes de avançar, será necessário desenvolver maior preparo para lidar com estratégias mais complexas e começar a sistematizar as ações realizadas.
11;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Exploração – Nível Avançar;2;7-15 (Avançar: 11-15);Muito bem! Você já se sente preparado(a) para implementar processos regulares que permitem ajustar a grade horária e o calendário escolar conforme necessário.;Para avançar; será necessário desenvolver maior preparo para assumir um papel de liderança estratégica.
12;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Consolidar;3;16-30 (Consolidar: 16-23);Parabéns! Você já se sente preparado(a) para liderar os processos de implementação do ensino de maneira estruturada, utilizando estratégias consistentes para assegurar a continuidade das aulas.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe.;"Monitoramento da frequência e mitigação de ausências; Gerenciamento de recursos; Proteção do tempo pedagógico; Coordenação de Discussões Estruturadas com Professores"
13;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Avançar;3;16-30 (Avançar: 23-30);Parabéns! Você já se sente preparado(a) para liderar a organização da escola de maneira estratégica, promovendo ajustes na grade horária, gerenciando recursos de forma proativa e garantindo a regularidade das aulas.;Para avançar, será essencial se preparar para criar uma cultura institucional sustentável, onde a equipe e a comunidade escolar compartilhem responsabilidades pela implementação do ensino.;"Cumprimento e ajustes no calendário e grade horária; Monitoramento da frequência e mitigação de ausências; Gerenciamento de Recursos para Assegurar a Realização das Aulas; Proteção do tempo pedagógico"
14;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Transformação Cultural – Nível Consolidar;4;31-36 (Consolidar: 31-36);Fantástico! Você já se sente preparado(a) para promover uma cultura de colaboração na implementação do ensino, engajando equipe, estudantes e famílias para garantir a implementação do processo de ensino e aprendizagem com qualidade.;Para continuar evoluindo, será importante fortalecer seu preparo para garantir a sustentabilidade dessas práticas, promovendo a capacidade da equipe e o engajamento de toda a comunidade.;"Cumprimento e ajustes no calendário e grade horária; Monitoramento da frequência e mitigação de ausências; Gerenciamento de Recursos para Assegurar a Realização das Aulas; Proteção do tempo pedagógico"
15;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-5);Você está construindo a base necessária para garantir o uso dos dados avaliativos como ferramentas importantes na gestão para aprendizagem!;Fortalecer o registro sistemático dos dados e explorar como usá-los em discussões com a equipe escolar. Refletir sobre como conectar avaliações ao planejamento pedagógico.;"Conceitos Fundamentais de Avaliação; Ciclo de uso dos dados de avaliação da aprendizagem"
16;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Sensibilização – Nível Avançar;1;0-9 (Avançar: 6-9);Você já se sente preparado para garantir a realização de avaliações externas e internas, assegurando que essas práticas ocorram conforme o planejado.;Explorar como os dados podem ser melhor integrados ao planejamento pedagógico e valorizar avaliações formativas.;"Leitura e Interpretação Básica de Dados; Aprofundamento em Avaliação Formativa; Sensibilização da Equipe Escolar"
17;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Exploração – Nível Consolidar;2;10-27 (Consolidar: 10-19);Você se sente preparado(a) para explorar práticas importantes, como divulgar os resultados das avaliações e incentivar ajustes no planejamento pedagógico.;Fortalecer a mediação, promover discussões estruturadas com a equipe escolar e incentivar o uso dos dados nas decisões pedagógicas.;"Leitura e Interpretação Básica de Dados; Aprofundamento em Avaliação Formativa; Promovendo Discussões Pedagógicas; Sensibilização da Equipe Escolar"
18;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Exploração – Nível Avançar;2;10-27 (Avançar: 20-27);Você se sente preparado(a) para atuar de forma ativa na mediação do uso dos dados avaliativos e para divulgar os resultados das avaliações externas.;Desenvolver práticas mais sistemáticas e aprofundar a integração entre as avaliações e o planejamento pedagógico.;"Integração dos diversos tipos de avaliações ao Planejamento Pedagógico; Diversificação de fontes de dados; Estratégias Pedagógicas de diferenciação do ensino e de recomposição das aprendizagens"
19;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Liderança Estratégica – Nível Consolidar;3;28-42 (Consolidar: 28-36);Você já se sente preparado(a) para liderar práticas que integram dados ao planejamento pedagógico e facilitar análises para identificar padrões de ensino e aprendizagem.;Fortalecer a triangulação de diferentes fontes de dados e engajar a equipe na implementação de estratégias com foco na equidade.;"Integração dos diversos tipos de avaliações ao Planejamento Pedagógico; Diversificação de fontes de dados; Estratégias Pedagógicas de diferenciação do ensino e de recomposição das aprendizagens"
20;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Liderança Estratégica – Nível Avançar;3;28-42 (Avançar: 37-42);Você já se sente preparado(a) para liderar o uso sistemático dos dados avaliativos, conectando práticas às metas internas da escola.;Consolidar processos sustentáveis e fomentar a autonomia da equipe no uso dos dados, expandindo a colaboração com a comunidade.;"Sustentabilidade e Inovação; Mobilização da Comunidade Escolar; Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente"
21;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Transformação Cultural – Nível Consolidar;4;42-48 (Consolidar: 42-48);Você se sente preparado(a) para promover uma cultura escolar em que o uso de dados avaliativos é integrado e colaborativo.;Estruturar sistemas que garantam a regularidade no monitoramento e fortalecer práticas de formação docente baseadas em dados.;"Sustentabilidade e Inovação; Mobilização da Comunidade Escolar; Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente"
22;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Sensibilização – Nível Consolidar;1;0-6 (Consolidar: 0-3);Você já reconhece a importância de usar dados relacionados a frequência, abandono e reprovação para tomar decisões.;Fortalecer preparo para registros regulares e uso de dados para apoiar estudantes em risco.;"Coleta e Registro de Dados relacionados ao Fluxo Escolar; Monitoramento da Frequência e do Fluxo Escolar"
23;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Sensibilização – Nível Avançar;1;0-6 (Avançar: 4-6);Você já se sente preparado(a) para registrar dados e realizar ações pontuais como reposição de aulas.;Preparar-se para rotinas regulares de monitoramento e diagnósticos das causas de abandono/reprovação.;"Monitoramento da Frequência e do Fluxo Escolar; Diagnóstico dos Problemas de Fluxo Escolar; Suporte Psicossocial; Políticas e Programas da Rede"
24;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Exploração – Nível Consolidar;2;7-21 (Consolidar: 7-14);Você já se sente preparado(a) para rotinas regulares e diagnósticos iniciais.;Fortalecer periodicidade de monitoramento e elaborar diagnósticos mais integrados.;"Monitoramento da Frequência e do Fluxo Escolar; Diagnóstico dos Problemas de Fluxo Escolar; Suporte Psicossocial; Políticas e Programas da Rede"
25;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Exploração – Nível Avançar;2;7-21 (Avançar: 15-21);Você já se sente preparado(a) para planejar intervenções ao longo do ano e articular ações com a rede de proteção.;Integrar diagnósticos ao planejamento escolar e fortalecer ações baseadas neles.;"Monitoramento da Frequência e do Fluxo Escolar; Fortalecimento do Vínculo com a Escola; Planejamento de Ações para o Fluxo Escolar; Monitoramento e Avaliação das Ações Planejadas"
26;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Liderança Estratégica – Nível Consolidar;3;22-39 (Consolidar: 22-31);Você já se sente preparado(a) para lidar com problemas de fluxo de forma sistemática.;Fortalecer planos integrados ao PPP, liderar diagnósticos e implementar ações com foco no vínculo estudantil.;"Monitoramento da Frequência e do Fluxo Escolar; Fortalecimento do Vínculo com a Escola; Planejamento de Ações para o Fluxo Escolar; Monitoramento e Avaliação das Ações Planejadas"
27;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Liderança Estratégica – Nível Avançar;3;22-39 (Avançar: 32-39);Você já se sente preparado(a) para liderar planos estratégicos, diagnósticos estruturados e práticas de vínculo.;Promover cultura colaborativa e sustentável com corresponsabilidade entre equipe e famílias.;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar; Engajamento da Comunidade Escolar e das Famílias; Cultura de Sustentabilidade e Autonomia"
28;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Transformação Cultural – Nível Consolidar;4;40-45 (Consolidar: 40-45);Você já se sente preparado(a) para promover cultura colaborativa e sustentável.;Consolidar práticas permanentes e compartilhadas de gestão do fluxo escolar.;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar; Engajamento da Comunidade Escolar e das Famílias; Cultura de Sustentabilidade e Autonomia"
29;Dimensão pedagógica;Desenvolvimento profissional docente;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-4);Você já reconhece a importância de apoiar o desenvolvimento profissional docente e se sente preparado(a) para realizar ações pontuais.;Aprofundar compreensão sobre o desenvolvimento docente e fortalecer práticas iniciadas.;"Conceitos e Fundamentos do Desenvolvimento Profissional Docente; Acompanhamento e Apoio Individual aos Professores"
